Signal Strength (dBm),Network Latency (ms),Packet Loss (%),Connection Type,Network Congestion Level,Average Data Throughput (Mbps),Number of Users,Network Availability (%),Signal to Noise Ratio (SNR),Number of Active Connections,Weather (Temperature in °C),Wi-Fi Interference,Network Downtime (hours),Customer Satisfaction Score,Traffic Volume (GB)
-47.516429234943836,25.762403179772967,0.4321505269512778,1,0.6508736972338678,41.481940018173304,261,99.18721227784997,15.28617919323132,34,24.52707863074547,12.713626458936282,1.0044275401238878,5.011968911681792,50.50470836931621
-50.691321505855925,25.46585891616146,0.4694500536946347,2,0.729952041941616,47.46099037259125,189,99.88905886600531,19.685203013434123,90,21.397717441126275,14.17744530502496,1.7927865960937401,4.507838323477991,75.1429750195527
-46.76155730949654,12.04356827369985,0.4402618938954857,3,0.5935954072754427,50.989864870402506,150,99.09650464704019,19.2015657004521,90,18.365194592032164,13.120618247038696,2.18714733199898,4.7151149117654345,86.14230126282575
-42.38485071795987,26.69909808298563,0.5110418046946119,3,0.6821417730485774,48.9256024516304,523,100.32367290200196,17.797794883735293,78,20.71540356462438,7.304451288032671,1.5008447920404935,3.3784363678206435,90.91959455550115
-51.17076687361668,37.328290818217454,0.6197178531461913,1,0.8402209589503269,43.43126717706606,505,99.46000842300566,23.419530556781847,26,15.626477260403226,13.232659566139581,2.0461309325217187,3.813395422666577,65.57019470664409
-51.1706847847459,17.257678809232047,0.42289578428587954,2,0.7428254397516862,63.943390520546885,243,99.28459477821352,17.599944332317627,67,17.42504562811603,10.684586126184804,2.1352838499744036,4.708301784003277,66.93006401424401
-42.103935922463045,40.484826510505926,0.6000820497768414,1,0.7130542292428358,59.5027928348828,715,98.91314120673776,22.7010576057269,82,21.163043879370658,6.009673269599723,2.670418329842417,4.731045796403254,81.09646897577215
-46.162826354235456,34.87774821084338,0.4218327927653112,1,0.7214864709463864,53.22047204325693,781,99.58429754297754,21.66917504471471,29,23.581980563954282,9.72560749974737,1.5369004036384974,4.155637232049932,92.42285365157102
-52.34737192967476,22.65766678028962,0.4152372787503116,3,0.6610864904023436,46.0044694400325,627,99.42568454000815,12.792673994486272,11,14.62241851643315,6.987263359130209,2.1224460844341113,4.700490664812389,64.11266766446556
-47.287199782070175,28.584703626621526,0.5818594618343214,2,0.8996152319754925,60.64275871844471,232,98.83147371264661,29.966712523570717,92,22.96172122485033,11.161670113376053,1.4540754741273583,3.1649347250246267,98.14483539877605
-52.31708846406231,45.98321807641033,0.5921936378007617,1,0.6187842869465932,45.35531367222435,598,99.1318308815296,22.88461115440465,18,29.912664517710198,12.355166284299756,0.9078250271096946,4.6544871902122535,66.25203281963971
-52.328648767851284,37.33547813505866,0.5851409936762655,3,0.721092616196393,65.70391840337815,489,98.52290602742453,12.036679151922893,72,24.177034216174732,13.367467574752752,1.761757864655973,4.911139698911793,83.55428263592005
-48.79018864216983,30.08783654898148,0.3684202591781859,1,0.7115025566342806,51.112209154834275,269,98.93515655797837,12.815568332857548,92,24.476649856189898,9.761917850303176,1.7265437835501205,3.993008735154648,81.38912241152912
-59.56640122328899,27.623166830390158,0.45340490219279495,3,0.8008762507133135,62.29781526972715,641,99.43852418601715,27.920800160237924,77,24.029325953378766,7.238807371809933,2.171714182946715,4.167204231043851,103.22809095032004
